name,rubro,email,phone,whatsapp,best_outreach_number,address,city,province,website,instagram,facebook,linkedin,source,lead_score,lead_tier,contact_channel
Aberturas de Aluminio y Pvc,Aberturas,ventas@aberturas.com.ar,+542994792216,+5492995179997,+5492995179997,G Marconi 1651,Cipolletti - Rio Negro,,www.aberturas.com.ar,https://www.instagram.com/aberturasdealuminiosa/,https://www.facebook.com/aberturasdealuminiosa,https://www.linkedin.com/company/aberturas/,Paginas Amarillas,95,A,whatsapp
Estudio Jurídico Dra. Ivana G. Stickel,Abogados,estudiostickelivana@gmail.com,+5492994198927,+5492994198927,+5492994198927,S Del Estero 435,Neuquén - Neuquen,,http://www.estudiojuridicodraivanastickel.com,https://www.instagram.com/abogada_ivana_stickel/?hl=es,https://www.facebook.com/stickelabogada,https://ar.linkedin.com/in/ivana-gabriela-stickel-315763120,Paginas Amarillas,95,A,whatsapp
Concilio de Iglesias de la Divina Unción,Academias,bruzzanitilucas@gmail.com,+5491133880303,+5491133880303,+5491133880303,Bacacay 214,Pablo Nogués - Buenos Aires,,http://www.apostollucasbruzanitilucas.com,https://www.instagram.com/apostollucas/,https://www.facebook.com/Familia.CIDU/,https://linktr.ee/cidu_central,Paginas Amarillas,95,A,whatsapp
Contextual,Arquitectos,arq.pablovidela@live.com.ar,+543854426381,+5493854426381,+5493854426381,Mitre 15,Frías - Santiago del Estero,,http://www.contextual.com.ar,https://www.instagram.com/contextual_/,https://www.facebook.com/profile,https://www.linkedin.com/in/pablo-videla-6a496226/,Paginas Amarillas,95,A,whatsapp
Instalaciones Comerciales SRL,Bazares,carlos.deleon@icnqn.com.ar,+542994436788,+5492995303535,+5492995303535,Gatica 312,Neuquén - Neuquen,,https://www.icnqn.com.ar,https://www.instagram.com/icnqnsrl/,https://www.facebook.com/icnqnsrl,https://www.linkedin.com/company/instalaciones-comerciales-s.r.l./about/,Paginas Amarillas,95,A,whatsapp
Niceto Catering,Catering,info@nicetocatering.com.ar,+5491158254008,+5491158254008,+5491158254008,Av Directorio 771,Caballito - Ciudad de Buenos Aires,,http://www.nicetocatering.com,https://www.instagram.com/niceto_catering/,https://www.facebook.com/nicetocatering,https://www.linkedin.com/company/niceto-catering,Paginas Amarillas,95,A,whatsapp
Bringeri Hogar,Colchones,info@bringerihogar.com.ar,+542364421081,+5491123550393,+5491123550393,Av Rivadavia 202,Junín - Buenos Aires,,https://www.bringeri.com.ar/,https://www.instagram.com/bringerihogar/,https://www.facebook.com/bringeri,https://www.linkedin.com/company/bringeri-hogar/,Paginas Amarillas,95,A,whatsapp
Cardio Metabolismo Argentina,Consultorios Medicos,contacto@cardiometabolismo-arg.com,+5491130481325,+5491130481325,+5491130481325,Av Rivadavia 2134 Piso 4,Flores - Ciudad de Buenos Aires,,http://www.cardiometabolismo-arg.com,https://www.instagram.com/cardiometabolismoargentina/,https://www.facebook.com/cardiometabolismoargentina/,https://www.linkedin.com/in/marisa-de-jesus-a85a012b/,Paginas Amarillas,95,A,whatsapp
Estudio Contable Lasquera,Contadores,cpnglasquera@estudiolasquera.com.ar,+543884234465,+5493884149546,+5493884149546,Salta 761,San Salvador de Jujuy - Jujuy,,http://www.estudiolasquera.com.ar,https://www.instagram.com/estudiocontablelasquera/,https://www.facebook.com/estudiolasquera,https://ar.linkedin.com/in/gabriela-lasquera-87626a56,Paginas Amarillas,95,A,whatsapp
Instalaciones Eléctricas - Matriculado - Electro Jafer,Electricistas,electrojafer@gmail.com,+5491136936816,+5491136936816,+5491136936816,Soler 5702,Palermo - Ciudad de Buenos Aires,,http://www.electro-jafer.com,https://www.instagram.com/electrojafer,https://www.facebook.com/electrojafer2016,https://www.linkedin.com/in/electrojafer/,Paginas Amarillas,95,A,whatsapp
